IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
8047;"285    ";CMPC Guaíba;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
2647;"235    ";Sucocítrico Cutrale;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
3556;"277    ";Chibatão Navegação e Comércio;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
4504;"275    ";Porto Chibatão;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
4591;"175    ";J. F. de Oliveira - Manaus;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
9506;"182    ";Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
13597;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Ações de Retirada de Resíduos do Navio;1,01248946;N2
24;"249    ";Terminal Marítimo Luiz Fogliatto - Termasa;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
679;"155    ";Ibepar;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
757;"136    ";Bertolini - Santarém;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
2224;"203    ";Terminal Marítimo Dow Aratu - Bahia;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
4101;"284    ";Oleoplan;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
4417;"141    ";Terminal Aquaviário de Guamaré;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
13360;"232    ";NULL;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
13413;"138    ";Bianchini Canoas;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
13599;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
13750;"168    ";Terminal Sanave de Manaus;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
14158;"150    ";Ocrim;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
